College,Degree,Major Code,Major Name,Non-Resident Alien Male,Non-Resident Alien Female,Hispanic/Latino Male,Hispanic/Latino Female,American Indian or Alaska Native Male,American Indian or Alaska Native Female,Asian Male,Asian Female,Black or African American Male,Black or African American Female,Native Hawaiian/Other Pacific Islander Male,Native Hawaiian/Other Pacific Islander Female,White Male,White Female,Two or more races Male,Two or more races Female,Race and Ethnicity Unknown Male,Race and Ethnicity Unknown Female,Total
College of Agri Sci and Natl Resources,B1AB,ABUS,Agribusiness,1,,,1,,,,,,,,,27,15,,,,1,45
College of Agri Sci and Natl Resources,B1SC,AESC,Agricultural & Env Sci Comm,,,,,,,,,,,,,,3,,,,,3
College of Agri Sci and Natl Resources,B1AE,AECN,Agricultural Economics,1,,,,,,,,,,,,27,9,,,,,37
College of Agri Sci and Natl Resources,B1ED,AEDU,Agricultural Education,,,,,,,,,,,,,6,19,,,,,25
College of Agri Sci and Natl Resources,B1AJ,AJRN,Agricultural Journalism,,,,,,,,,,,,,,7,,,,,7
College of Agri Sci and Natl Resources,B1AG,AGRO,Agronomy,,,,,,,,,1,,,,62,8,,,3,,74
College of Agri Sci and Natl Resources,B1AS,ASCI,Animal Science,,1,4,2,,,,,,,,,36,66,1,1,3,1,115
College of Agri Sci and Natl Resources,B1AP,APSC,Applied Science,2,,,1,,,,,,,,,25,7,1,,,,36
College of Agri Sci and Natl Resources,B1BC,BIOC,Biochemistry,1,2,1,1,,,2,,,,,,10,8,1,,,,26
College of Agri Sci and Natl Resources,B1ER,ENRS,Environmental Restoration Sci,1,,,,,,,,,,,,6,2,,,,,9
College of Agri Sci and Natl Resources,B1ES,ENVR,Environmental Studies,,,1,1,1,1,,,,,,,9,13,,,1,,27
College of Agri Sci and Natl Resources,B1FW,FWL,Fisheries and Wildlife,,,,,,,,,,,,,29,27,,,1,,57
College of Agri Sci and Natl Resources,B1FS,FDST,Food Science and Technology,2,2,,,,,,1,,,,,4,9,,,,1,19
College of Agri Sci and Natl Resources,B1FC,FTCA,Food Tech for Companion Animal,,,,,,,,,,,,,,3,,,,,3
College of Agri Sci and Natl Resources,B1FO,FORS,Forensic Science,,,,1,,,1,,1,1,,,7,19,,,,1,31
College of Agri Sci and Natl Resources,B1GE,GECM,Grassland Ecology & Management,,,,,,,,,,,,,1,,,,1,,2
